T (min)	V (V)
51.2	0.06483
51.18333	0.06483
51.16667	0.06483
51.15	0.06483
51.13333	0.06483
51.11667	0.06483
51.1	0.06483
51.08333	0.06483
51.06667	0.06483
51.05	0.065
51.03333	0.065
51.01667	0.065
51	0.065
50.98333	0.065
50.96667	0.065
50.95	0.065
50.93333	0.065
50.91667	0.065
50.9	0.065
50.88333	0.065
50.86667	0.065
50.85	0.065
50.83333	0.065
50.81667	0.065
50.8	0.065
50.78333	0.065
50.76667	0.065
50.75	0.065
50.73333	0.065
50.71667	0.065
50.7	0.065
50.68333	0.065
50.66667	0.065
50.65	0.065
50.63333	0.065
50.61667	0.065
50.6	0.065
50.58333	0.065
50.56667	0.065
50.55	0.065
50.53333	0.065
50.51667	0.065
50.5	0.065
50.48333	0.065
50.46667	0.065
50.45	0.065
50.43333	0.065
50.41667	0.065
50.4	0.065
50.38333	0.065
50.36667	0.065
50.35	0.065
50.33333	0.065
50.31667	0.065
50.3	0.065
50.28333	0.065
50.26667	0.065
50.25	0.065
50.23333	0.065
50.21667	0.065
50.2	0.065
50.18333	0.065
50.16667	0.065
50.15	0.065
50.13333	0.065
50.11667	0.065
50.1	0.065
50.08333	0.065
50.06667	0.065
50.05	0.065
50.03333	0.065
50.01667	0.065
50	0.065
49.98333	0.065
49.96667	0.065
49.95	0.065
49.93333	0.065
49.91667	0.065
49.9	0.065
49.88333	0.065
49.86667	0.065
49.85	0.065
49.83333	0.065
49.81667	0.065
49.8	0.065
49.78333	0.065
49.76667	0.065
49.75	0.065
49.73333	0.065
49.71667	0.065
49.7	0.065
49.68333	0.065
49.66667	0.065
49.65	0.065
49.63333	0.065
49.61667	0.065
49.6	0.065
49.58333	0.065
49.56667	0.065
49.55	0.065
49.53333	0.065
49.51667	0.065
49.5	0.065
49.48333	0.065
49.46667	0.065
49.45	0.065
49.43333	0.065
49.41667	0.065
49.4	0.065
49.38333	0.065
49.36667	0.065
49.35	0.065
49.33333	0.065
49.31667	0.065
49.3	0.065
49.28333	0.065
49.26667	0.065
49.25	0.065
49.23333	0.065
49.21667	0.065
49.2	0.065
49.18333	0.065
49.16667	0.065
49.15	0.065
49.13333	0.065
49.11667	0.065
49.1	0.065
49.08333	0.065
49.06667	0.065
49.05	0.065
49.03333	0.065
49.01667	0.065
49	0.065
48.98333	0.065
48.96667	0.065
48.95	0.065
48.93333	0.065
48.91667	0.065
48.9	0.065
48.88333	0.065
48.86667	0.065
48.85	0.065
48.83333	0.065
48.81667	0.065
48.8	0.065
48.78333	0.065
48.76667	0.065
48.75	0.065
48.73333	0.065
48.71667	0.065
48.7	0.065
48.68333	0.065
48.66667	0.065
48.65	0.065
48.63333	0.065
48.61667	0.065
48.6	0.065
48.58333	0.065
48.56667	0.065
48.55	0.065
48.53333	0.065
48.51667	0.065
48.5	0.065
